"public_slug","title","banner","product_count","products","search_tags","h1","meta_title","meta_description","intro_text","seo_notes","indexable","status"
"attack-on-titan","Attack on Titan","images/tag-banners/attack-on-titan.jpg","4","aot_1: Гобелен Attack on Titan (кошмар титанов — ч/б офорт) | aot_2: Гобелен Attack on Titan (Дрожь Земли) | aot_3: Гобелен Attack on Titan (обложка журнала, Эрен и Леви) | aot_4: Гобелен Attack on Titan (Пути — трон и корни, ч/б)","armin | attack on titan | eren | levi | mikasa | shingeki no kyojin | армин | атака титанов | леви | микаса | эрен","Гобелены Attack on Titan","Гобелены Attack on Titan — декор WAGICH","Гобелены Attack on Titan для стены, фанатской комнаты и подарка: мрачная эстетика титанов, Эрен, Леви, Микаса и сильные постерные сюжеты.","Attack on Titan — история, которую сложно воспринимать просто как очередной шонен. В ней много тревоги, масштаба и визуальной тяжести, поэтому гобелены по этой вселенной хорошо работают как акцентный настенный декор: не просто картинка на стене, а настроение всей зоны.

В подборке WAGICH собраны сюжеты с Эреном, Леви, Микасой, титанами и более графичными чёрно-белыми композициями. Такие работы легко вписываются в комнату фаната аниме, рабочий сетап, спальню или пространство с тёмной постерной эстетикой.

Гобелен Attack on Titan можно выбрать как подарок человеку, который любит драматичный визуал, мангу и атмосферу борьбы за свободу. Он не перегружает интерьер мелкими деталями, но сразу даёт понять, какая история здесь важна.","Пиши для страницы категории аниме-гобеленов WAGICH. Не обещай наличие, скидки, доставку или оригинальную лицензию. Без переспама. Meta title до 60 символов, meta description до 160, intro_text 500-900 символов.","true","draft"
"berserk","Berserk","images/tag-banners/berserk.jpg","5","berserk_1: Гобелен Berserk (Жертвоприношение) | berserk_2: Гобелен Berserk (Обложка тома 1) | berserk_3: Гобелен Berserk (Броня Берсерка) | berserk_4: Гобелен Berserk (Фемто в пламени) | berserk_5: Гобелен Berserk (Гатс — диагональ меча)","berserk | femto | guts | берсерк | гатс | фемто","Гобелены Berserk","Гобелены Berserk — тёмный аниме-декор","Гобелены Berserk с Гатсом, Фемто и мрачными сюжетами для стены, фанатского интерьера и подарка поклоннику тёмной манги.","Berserk — это не просто культовая манга, а отдельная визуальная эстетика: тяжёлые контрасты, мечи, жертвоприношения, броня и ощущение мира, в котором свет всегда пробивается через тьму. Поэтому гобелены Berserk особенно хорошо смотрятся в интерьере, где нужен сильный и немного суровый акцент.

В категории WAGICH собраны работы с Гатсом, Фемто, Бронёй Берсерка и отсылками к знаковым образам серии. Такой настенный декор подойдёт не только для фанатской комнаты, но и для рабочего места, игровой зоны или минималистичной стены, которой не хватает характера.

Гобелен по Berserk — вариант для тех, кто ценит не милый аниме-вайб, а драму, силу и тёмную манга-графику. Его можно рассматривать и как подарок поклоннику Кэнтаро Миуры.","Пиши для страницы категории аниме-гобеленов WAGICH. Не обещай наличие, скидки, доставку или оригинальную лицензию. Без переспама. Meta title до 60 символов, meta description до 160, intro_text 500-900 символов.","true","draft"
"black-clover","Black Clover","images/tag-banners/black-clover.jpg","2","blackclover_1: Гобелен Black Clover (Аста — обложка Weekly Shonen Jump, манга-стиль) | blackclover_2: Гобелен Black Clover (Аста — обложка Weekly Shonen Jump)","asta | black clover | аста | чёрный клевер","Гобелены Black Clover","Гобелены Black Clover — декор с Астой","Гобелены Black Clover с Астой и журнальной шонен-эстетикой для фанатской стены, комнаты, сетапа или подарка поклоннику аниме.","Black Clover держится на энергии классического шонена: упрямство, магия, дружба и желание стать сильнее, даже когда у тебя нет очевидного преимущества. Гобелены по этой серии хорошо передают именно этот заряд — яркий, прямой и мотивирующий.

В подборке WAGICH акцент сделан на Асте и визуале в духе обложек Weekly Shonen Jump. Такой гобелен можно повесить над столом, рядом с полкой манги, в игровой зоне или в комнате, где хочется добавить больше движения и аниме-настроения.

Это настенный декор для тех, кому близка история про рост через труд и упорство. Категория Black Clover подойдёт и для личного интерьера фаната, и как подарок человеку, который любит бодрый шонен без лишней мрачности.","Пиши для страницы категории аниме-гобеленов WAGICH. Не обещай наличие, скидки, доставку или оригинальную лицензию. Без переспама. Meta title до 60 символов, meta description до 160, intro_text 500-900 символов.","true","draft"
"bleach","Bleach","images/tag-banners/bleach.jpg","3","bleach_1: Гобелен Bleach (Shonen Jump 2006) | bleach_2: Гобелен Bleach (Ичиго и Рукия, Jump #45) | bleach_3: Гобелен Bleach (Ичиго Куросаки — обложка Weekly Shonen Jump, меч и дух)","bleach | ichigo | rukia | блич | ичиго | рукия","Гобелены Bleach","Гобелены Bleach — Ичиго, Рукия и шинигами","Гобелены Bleach с Ичиго, Рукией и журнальным шонен-вайбом для стены, комнаты фаната, сетапа и подарка.","Bleach узнаётся с первого взгляда: мечи, шинигами, контрастные силуэты и стиль, в котором много пустого пространства, резких линий и уверенной позы. Гобелены по этой вселенной хорошо подходят тем, кто хочет добавить в интерьер аниме-декор без ощущения случайного постера.

В категории WAGICH есть сюжеты с Ичиго, Рукией и обложечной эстетикой Shonen Jump. Такие работы можно использовать как центральный акцент на стене, фон для рабочего места или часть фанатской зоны рядом с фигурками и мангой.

Гобелен Bleach — хороший выбор для тех, кому нравится стиль Тайт Кубо: чистый, модный, немного холодный и очень узнаваемый. Он подойдёт и как подарок поклоннику классического сёнена.","Пиши для страницы категории аниме-гобеленов WAGICH. Не обещай наличие, скидки, доставку или оригинальную лицензию. Без переспама. Meta title до 60 символов, meta description до 160, intro_text 500-900 символов.","true","draft"
"blue-lock","Blue Lock","images/tag-banners/blue-lock.jpg","1","bluelock_1: Гобелен Blue Lock (Исаги)","blue lock | bluelock | isagi | исаги","Гобелены Blue Lock","Гобелены Blue Lock — декор для фаната футбола","Гобелены Blue Lock с Исаги и спортивной аниме-энергией для стены, комнаты, игрового сетапа и подарка фанату.","Blue Lock — это футбол, поданный как психологическая битва за эго, скорость решений и право быть первым. Даже один гобелен по этой серии способен добавить комнате соревновательный вайб и ощущение движения, будто кадр остановился на самом напряжённом моменте.

В подборке WAGICH акцент сделан на Исаги и узнаваемой спортивной эстетике Blue Lock. Такой настенный декор можно повесить в комнате фаната аниме, у рабочего стола, рядом с игровой зоной или там, где хочется визуально подчеркнуть тему роста и амбиций.

Гобелен Blue Lock подойдёт тем, кто любит не только аниме, но и истории про конкуренцию, характер и желание выйти на новый уровень. Это спокойный, но выразительный подарок для фаната серии.","Пиши для страницы категории аниме-гобеленов WAGICH. Не обещай наличие, скидки, доставку или оригинальную лицензию. Без переспама. Meta title до 60 символов, meta description до 160, intro_text 500-900 символов.","true","draft"
"chainsaw-man","Chainsaw Man","images/tag-banners/chainsaw-man.jpg","2","chainsaw_1: Гобелен Chainsaw Man (Power & Денджи) | chainsaw_2: Гобелен Chainsaw Man (Денджи и Почита, старт)","chainsaw man | denji | power | денджи | пауэр | человек-бензопила","Гобелены Chainsaw Man","Гобелены Chainsaw Man — Денджи, Пауэр, Почита","Гобелены Chainsaw Man с Денджи, Пауэр и Почитой для стены, фанатского интерьера, сетапа и подарка поклоннику аниме.","Chainsaw Man цепляет сочетанием хаоса, чёрного юмора, странной нежности и очень узнаваемой визуальной энергии. Гобелены по этой вселенной хорошо смотрятся там, где хочется добавить интерьеру дерзости, но не превращать стену в обычную афишу.

В категории WAGICH есть сюжеты с Денджи, Пауэр и Почитой — от более динамичных композиций до образов с ощущением старта истории. Такой аниме-гобелен можно использовать как акцент над кроватью, рабочим местом, диваном или полкой с коллекцией.

Это декор для тех, кому нравится немного безумный, живой и эмоциональный стиль Chainsaw Man. Гобелен подойдёт фанату серии, человеку с любовью к необычному шонену или как подарок в комнату с ярким характером.","Пиши для страницы категории аниме-гобеленов WAGICH. Не обещай наличие, скидки, доставку или оригинальную лицензию. Без переспама. Meta title до 60 символов, meta description до 160, intro_text 500-900 символов.","true","draft"
"cowboy-bebop","Cowboy Bebop","images/tag-banners/cowboy-bebop.jpg","3","bebop_1: Гобелен Cowboy Bebop (Newtype Year Book 2000 — ретро-обложка) | bebop_2: Гобелен Cowboy Bebop (Спайк — прицел на зрителя) | bebop_3: Гобелен Cowboy Bebop (Спайк Шпигель — тёмный фон, яркий коллаж, джаз-вайб)","cowboy bebop | spike spiegel | ковбой бибоп | спайк","Гобелены Cowboy Bebop","Гобелены Cowboy Bebop — джазовый ретро-декор","Гобелены Cowboy Bebop со Спайком, ретро-обложками и джазовым вайбом для стены, комнаты, студии и подарка фанату.","Cowboy Bebop — это аниме с редкой атмосферой: космический нуар, джаз, одиночество, стильные силуэты и ощущение старого журнала, найденного где-то между баром и космопортом. Поэтому гобелены по Bebop особенно хорошо работают как декор не только для фаната аниме, но и для интерьера с ретро-настроением.

В подборке WAGICH есть Спайк, тёмные коллажи, прицел на зрителя и обложечный вайб Newtype. Такие работы можно повесить в комнате, студии, возле проигрывателя, рабочего стола или мягкой зоны — там, где хочется не кричащего, а атмосферного акцента.

Гобелен Cowboy Bebop подойдёт человеку, который любит зрелые истории, музыку и визуальный стиль конца девяностых. Это спокойный, но очень характерный подарок.","Пиши для страницы категории аниме-гобеленов WAGICH. Не обещай наличие, скидки, доставку или оригинальную лицензию. Без переспама. Meta title до 60 символов, meta description до 160, intro_text 500-900 символов.","true","draft"
"death-note","Death Note","images/tag-banners/death-note.jpg","2","deathnote_1: Гобелен Death Note (Тетрадь смерти — обложка Weekly Shonen Jump, Light Yagami, манга-стиль) | deathnote_2: Гобелен Death Note (Лайт Ягами × L × Миса — постер-коллаж, красные глаза Рюка)","death note | desu noto | l lawliet | light yagami | ryuk | weekly shonen jump | лайт ягами | миса амане | рюк | тетрадь смерти | эль | эль лоулайет","Гобелены Death Note","Гобелены Death Note — Лайт, L и Рюк","Гобелены Death Note с Лайтом, L, Мисой и Рюком для мрачного настенного декора, комнаты фаната и подарка.","Death Note держится на напряжении, интеллектуальной дуэли и готической атмосфере, где каждая деталь кажется частью игры. Гобелены по этой серии хорошо подходят для стены, которой нужен тёмный, собранный и немного театральный акцент.

В категории WAGICH собраны сюжеты с Лайтом Ягами, L, Мисой, Рюком и журнальной манга-эстетикой. Такой настенный декор можно разместить над рабочим столом, рядом с книжной полкой, в игровой зоне или в комнате, где уже есть чёрные, красные и контрастные элементы.

Гобелен Death Note — вариант для фаната психологического аниме, детективного напряжения и культовых персонажей. Он выглядит как часть личной коллекции, а не просто случайная картинка на стене.","Пиши для страницы категории аниме-гобеленов WAGICH. Не обещай наличие, скидки, доставку или оригинальную лицензию. Без переспама. Meta title до 60 символов, meta description до 160, intro_text 500-900 символов.","true","draft"
"demon-slayer","Demon Slayer","images/tag-banners/demon-slayer.jpg","2","ds_1: Гобелен Demon Slayer (журнальная обложка — Тандзиро и Команда) | ds_2: Гобелен Demon Slayer (Кокушибо — взмах клинка)","demon slayer | kimetsu no yaiba | kokushibo | nezuko | tanjiro | клинок рассекающий демонов | кокушибо | нэзуко | тандзиро","Гобелены Demon Slayer","Гобелены Demon Slayer — декор Kimetsu no Yaiba","Гобелены Demon Slayer с Тандзиро, Нэзуко, Кокушибо и клинковой эстетикой для стены, комнаты и подарка фанату.","Demon Slayer легко узнать по яркой палитре, динамике клинков и сочетанию красивого визуала с очень эмоциональной историей. Гобелены по Kimetsu no Yaiba хорошо добавляют в интерьер движение, цвет и ощущение аниме-сцены, застывшей на стене.

В подборке WAGICH есть работы с Тандзиро, командой и более мрачной эстетикой Кокушибо. Такой гобелен можно повесить в комнате фаната, возле рабочего места, над кроватью или в зоне, где хочется сделать аниме-декор заметным, но не перегруженным.

Категория Demon Slayer подойдёт тем, кто любит визуально богатые истории, красивые бои и персонажей с сильной эмоциональной линией. Это хороший вариант и для личной комнаты, и для подарка поклоннику серии.","Пиши для страницы категории аниме-гобеленов WAGICH. Не обещай наличие, скидки, доставку или оригинальную лицензию. Без переспама. Meta title до 60 символов, meta description до 160, intro_text 500-900 символов.","true","draft"
"dragon-ball","Dragon Ball","images/tag-banners/dragon-ball.jpg","1","dragon_ball_1: Гобелен Dragon Ball (Гоку КАМЕХАМЕХА)","dragon ball | goku | гоку | драконий жемчуг","Гобелены Dragon Ball","Гобелены Dragon Ball — Гоку и энергия шонена","Гобелены Dragon Ball с Гоку и культовой энергией Камехамеха для стены, фанатской комнаты, сетапа и подарка.","Dragon Ball — одна из тех серий, с которых для многих началась любовь к аниме. Визуал с Гоку, силой, движением и боевой энергией сразу задаёт комнате бодрый, ностальгический и при этом очень узнаваемый тон.

В подборке WAGICH акцент сделан на Гоку и моменте Камехамеха — образе, который работает даже без длинных объяснений. Такой гобелен можно повесить в игровой зоне, комнате фаната, рядом с полкой фигурок или в пространстве, где хочется добавить больше классического шонен-настроения.

Гобелен Dragon Ball подойдёт тем, кто любит олдскульную энергетику, простую силу культового персонажа и яркий настенный декор. Это понятный подарок для фаната аниме разных поколений.","Пиши для страницы категории аниме-гобеленов WAGICH. Не обещай наличие, скидки, доставку или оригинальную лицензию. Без переспама. Meta title до 60 символов, meta description до 160, intro_text 500-900 символов.","true","draft"
"dr-stone","Dr. Stone","images/tag-banners/dr-stone.jpg","1","drstone_1: Гобелен Dr. STONE (Сэнку — обложка Weekly Shonen Jump, научный шонен)","dr. stone | senku | senku ishigami | доктор стоун | сэнку | сэнку исигами","Гобелены Dr. Stone","Гобелены Dr. Stone — Сэнку и научный шонен","Гобелены Dr. Stone с Сэнку и журнальной эстетикой научного шонена для стены, комнаты, рабочего места и подарка.","Dr. Stone выделяется среди шоненов тем, что делает науку частью приключения. Здесь важны не только битвы, но и идеи, изобретения, любопытство и ощущение, что мир можно собрать заново с нуля. Гобелен по этой серии хорошо смотрится в комнате, где ценят умный, светлый и немного авантюрный вайб.

В подборке WAGICH представлен Сэнку в обложечной эстетике Weekly Shonen Jump. Такой настенный декор можно повесить над рабочим столом, рядом с книгами, техникой или учебной зоной — он не выглядит случайно и поддерживает атмосферу движения к знаниям.

Гобелен Dr. Stone подойдёт фанату научного шонена, человеку, которому близка тема изобретений, или как подарок без излишней мрачности и агрессии.","Пиши для страницы категории аниме-гобеленов WAGICH. Не обещай наличие, скидки, доставку или оригинальную лицензию. Без переспама. Meta title до 60 символов, meta description до 160, intro_text 500-900 символов.","true","draft"
"evangelion","Evangelion","images/tag-banners/evangelion.jpg","1","eva_1: Гобелен Evangelion (Аска и Ева)","asuka | evangelion | shin seiki evangelion | аска | евангелион","Гобелены Evangelion","Гобелены Evangelion — культовый аниме-декор","Гобелены Evangelion с Аской и Евой для стены, фанатского интерьера, сетапа и подарка поклоннику классики аниме.","Evangelion — это серия, которую любят не только за меха и бои, но и за тревожную атмосферу, символы, цветовые контрасты и ощущение внутреннего напряжения. Гобелен по этой вселенной может стать спокойным, но очень узнаваемым акцентом в комнате фаната.

В подборке WAGICH представлен сюжет с Аской и Евой. Такой настенный декор хорошо вписывается в интерьер с аниме-постерами, минималистичной мебелью, рабочим сетапом или полкой с коллекцией. Он добавляет комнате характер, но не требует перегружать пространство деталями.

Гобелен Evangelion подойдёт тем, кто любит классику аниме, психологические истории и визуальный стиль, который считывается даже спустя годы. Это хороший вариант для подарка поклоннику Евы и старой школы японской анимации.","Пиши для страницы категории аниме-гобеленов WAGICH. Не обещай наличие, скидки, доставку или оригинальную лицензию. Без переспама. Meta title до 60 символов, meta description до 160, intro_text 500-900 символов.","true","draft"
