"alias","public_slug","type","language"
"armin","attack-on-titan","search","en"
"attack on titan","attack-on-titan","franchise","en"
"eren","attack-on-titan","search","en"
"levi","attack-on-titan","search","en"
"mikasa","attack-on-titan","search","en"
"shingeki no kyojin","attack-on-titan","search","en"
"армин","attack-on-titan","search","ru"
"атака титанов","attack-on-titan","search","ru"
"леви","attack-on-titan","search","ru"
"микаса","attack-on-titan","search","ru"
"эрен","attack-on-titan","search","ru"
"berserk","berserk","franchise","en"
"femto","berserk","search","en"
"guts","berserk","search","en"
"берсерк","berserk","search","ru"
"гатс","berserk","search","ru"
"фемто","berserk","search","ru"
"asta","black-clover","search","en"
"black clover","black-clover","franchise","en"
"аста","black-clover","search","ru"
"чёрный клевер","black-clover","search","ru"
"bleach","bleach","franchise","en"
"ichigo","bleach","search","en"
"rukia","bleach","search","en"
"блич","bleach","search","ru"
"ичиго","bleach","search","ru"
"рукия","bleach","search","ru"
"blue lock","blue-lock","franchise","en"
"bluelock","blue-lock","search","en"
"isagi","blue-lock","search","en"
"исаги","blue-lock","search","ru"
"chainsaw man","chainsaw-man","franchise","en"
"denji","chainsaw-man","search","en"
"power","chainsaw-man","search","en"
"денджи","chainsaw-man","search","ru"
"пауэр","chainsaw-man","search","ru"
"человек-бензопила","chainsaw-man","search","ru"
"cowboy bebop","cowboy-bebop","franchise","en"
"spike spiegel","cowboy-bebop","search","en"
"ковбой бибоп","cowboy-bebop","search","ru"
"спайк","cowboy-bebop","search","ru"
"death note","death-note","franchise","en"
"desu noto","death-note","search","en"
"l lawliet","death-note","search","en"
"light yagami","death-note","search","en"
"ryuk","death-note","search","en"
"weekly shonen jump","death-note","source","en"
"лайт ягами","death-note","search","ru"
"миса амане","death-note","search","ru"
"рюк","death-note","search","ru"
"тетрадь смерти","death-note","search","ru"
"эль","death-note","search","ru"
"эль лоулайет","death-note","search","ru"
"demon slayer","demon-slayer","franchise","en"
"kimetsu no yaiba","demon-slayer","search","en"
"kokushibo","demon-slayer","search","en"
"nezuko","demon-slayer","search","en"
"tanjiro","demon-slayer","search","en"
"клинок рассекающий демонов","demon-slayer","search","ru"
"кокушибо","demon-slayer","search","ru"
"нэзуко","demon-slayer","search","ru"
"тандзиро","demon-slayer","search","ru"
"dragon ball","dragon-ball","franchise","en"
"goku","dragon-ball","search","en"
"гоку","dragon-ball","search","ru"
"драконий жемчуг","dragon-ball","search","ru"
"dr. stone","dr-stone","franchise","en"
"senku","dr-stone","search","en"
"senku ishigami","dr-stone","search","en"
"доктор стоун","dr-stone","search","ru"
"сэнку","dr-stone","search","ru"
"сэнку исигами","dr-stone","search","ru"
"asuka","evangelion","search","en"
"evangelion","evangelion","franchise","en"
"shin seiki evangelion","evangelion","search","en"
"аска","evangelion","search","ru"
"евангелион","evangelion","search","ru"
"edward elric","fullmetal-alchemist","search","en"
"fullmetal alchemist","fullmetal-alchemist","franchise","en"
"hagane no renkinjutsushi","fullmetal-alchemist","search","en"
"стальной алхимик","fullmetal-alchemist","search","ru"
"эдвард элрик","fullmetal-alchemist","search","ru"
"gon","hunter-x-hunter","search","en"
"hunter x hunter","hunter-x-hunter","franchise","en"
"killua","hunter-x-hunter","search","en"
"kurapika","hunter-x-hunter","search","en"
"leorio","hunter-x-hunter","search","en"
"гон","hunter-x-hunter","search","ru"
"киллуа","hunter-x-hunter","search","ru"
"курапика","hunter-x-hunter","search","ru"
"леорио","hunter-x-hunter","search","ru"
"хантер х хантер","hunter-x-hunter","search","ru"
"dio","jojo","search","en"
"gyro zeppeli","jojo","search","en"
"jojo","jojo","search","en"
"jojo no kimyou na bouken","jojo","search","en"
"jojo's bizarre adventure","jojo","franchise","en"
"jotaro","jojo","search","en"
"джайро цеппели","jojo","search","ru"
"джоджо","jojo","search","ru"
"джотаро","jojo","search","ru"
"дио","jojo","search","ru"
"gojo","jujutsu-kaisen","search","en"
"jujutsu kaisen","jujutsu-kaisen","franchise","en"
"sukuna","jujutsu-kaisen","search","en"
"toji","jujutsu-kaisen","search","en"
"yuji itadori","jujutsu-kaisen","search","en"
"yuta okkotsu","jujutsu-kaisen","search","en"
"годзё","jujutsu-kaisen","search","ru"
"магическая битва","jujutsu-kaisen","search","ru"
"сукуна","jujutsu-kaisen","search","ru"
"тодзи","jujutsu-kaisen","search","ru"
"юдзи","jujutsu-kaisen","search","ru"
"юта","jujutsu-kaisen","search","ru"
"boku no hero academia","my-hero-academia","search","en"
"deku","my-hero-academia","search","en"
"izuku midoriya","my-hero-academia","search","en"
"my hero academia","my-hero-academia","franchise","en"
"деку","my-hero-academia","search","ru"
"идзуку мидория","my-hero-academia","search","ru"
"моя геройская академия","my-hero-academia","search","ru"
"akatsuki","naruto","search","en"
"itachi","naruto","search","en"
"Jump Comics","naruto","source","en"
"naruto","naruto","franchise","en"
"pain","naruto","search","en"
"sakura","naruto","search","en"
"sasuke","naruto","search","en"
"акацуки","naruto","search","ru"
"Гамабунта","naruto","search","ru"
"гендзюцу","naruto","search","ru"
"итачи","naruto","search","ru"
"Манда","naruto","search","ru"
"наруто","naruto","search","ru"
"саске","naruto","search","ru"
"шаринган","naruto","search","ru"
"eustass kid","one-piece","search","en"
"luffy","one-piece","search","en"
"one piece","one-piece","franchise","en"
"trafalgar law","one-piece","search","en"
"zoro","one-piece","search","en"
"ван пис","one-piece","search","ru"
"зоро","one-piece","search","ru"
"луффи","one-piece","search","ru"
"трафальгар ло","one-piece","search","ru"
"юстасс кид","one-piece","search","ru"
"one punch man","one-punch-man","franchise","en"
"saitama","one-punch-man","search","en"
"ванпанчмен","one-punch-man","search","ru"
"сайтама","one-punch-man","search","ru"
"bishoujo senshi sailor moon","sailor-moon","search","en"
"sailor moon","sailor-moon","franchise","en"
"usagi tsukino","sailor-moon","search","en"
"сейлор мун","sailor-moon","search","ru"
"усаги","sailor-moon","search","ru"
"kaneki","tokyo-ghoul","search","en"
"tokyo ghoul","tokyo-ghoul","franchise","en"
"канэки","tokyo-ghoul","search","ru"
"токийский гуль","tokyo-ghoul","search","ru"
"vagabond","vagabond","franchise","en"
"бродяга","vagabond","search","ru"
"vinland saga","vinland-saga","franchise","en"
"сага о винланде","vinland-saga","search","ru"
